web-scraper-order,web-scraper-start-url,title,price,availability,pagination,pagination-href,image-src,link,link-href
"1612455561-7092","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 250 G7, Intel Core i3-1005G1, 4GB DDR4, HDD 500GB, Intel UHD Graphics, Free DOS","1.999,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143020-1.jpg","","https://www.flanco.ro/laptop-hp-250-g7-intel-core-i3-1005g1-4gb-ddr4-hdd-500gb-intel-uhd-graphics-free-dos.html"
"1612455593-7148","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus ZenBook 13 UX325EA-EG022T, Intel® Core™ i5-1135G7, 8GB LPDDR4X, SSD","4.899,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143430-1.jpg","","https://www.flanco.ro/laptop-asus-zenbook-13-ux325ea-eg022t-intel-core-i5-1135g7-8gb-lpddr4x-ssd-512gb-intel-iris-xe-graphics-windows-10-home.html"
"1612455610-7184","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus VivoBook 15 M513IA-EJ057T, AMD Ryzen™ 5 4500U, 8GB DDR4, SSD 512GB, AMD","3.299,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144702-1.jpg","","https://www.flanco.ro/laptop-asus-vivobook-15-m513ia-ej057t-amd-ryzen-5-4500u-8gb-ddr4-ssd-512gb-amd-radeon-graphics-windows-10-home.html"
"1612455593-7154","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus VivoBook 15 M513IA-EJ060T, AMD Ryzen™ 5 4500U, 8GB DDR4, SSD 512GB, AMD","3.499,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144703-1.jpg","","https://www.flanco.ro/laptop-asus-vivobook-15-m513ia-ej060t-amd-ryzen-5-4500u-8gb-ddr4-ssd-512gb-amd-radeon-graphics-windows-10-home.html"
"1612455561-7089","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Apple MacBook Air 13 cu procesor Intel® Dual Core™ i5 1.80GHz, 13.3""","4.399,00 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/m/m/mmgf2zea_1_1.jpg","","https://www.flanco.ro/laptop-macbook-air-intel-core-i5-memorie-8gb-ssd-128gb-intel-hd-graphics-mac-os-x-int-1.html"
"1612455610-7177","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus ExpertBook P2 P2451FB-EB0039, Intel® Core™ i5-10210U, 8GB DDR4, SSD","3.710,90 lei","In stoc - exclusiv online","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/142260-1.jpg","","https://www.flanco.ro/laptop-asus-expertbook-p2-p2451fb-eb0039-intel-core-i5-10210u-8gb-ddr4-ssd-512gb-nvidia-geforce-mx110-2gb-endless-os.html"
"1612455561-7098","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo ThinkPad T14, AMD Ryzen™ 7 PRO 4750U, 16GB DDR4, SSD 512GB, AMD Radeon","7.595,90 lei","In stoc - exclusiv online","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145026-1.jpg","","https://www.flanco.ro/laptop-lenovo-thinkpad-t14-amd-ryzen-7-pro-4750u-16gb-ddr4-ssd-512gb-amd-radeon-graphics-windows-10-pro.html"
"1612455577-7121","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 15-ec0030nq, AMD Ryzen™ 7 3750H, 16GB DDR4, SSD 256GB, HDD 1TB + SSD 256GB","4.699,99 lei","Stoc limitat","4","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144267-1.jpg","","https://www.flanco.ro/laptop-hp-15-ec0030nq-amd-ryzen-7-3750h-16gb-ddr4-ssd-256gb-hdd-1tb-ssd-256gb-nvidia-geforce-gtx-1650-4gb-free-dos.html"
"1612455610-7176","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 5511, Intel® Core™ i5-10400H, 8GB DDR4, SSD 256GB, Intel&#","5.199,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144047-1.jpg","","https://www.flanco.ro/laptop-dell-latitude-5511-intel-core-i5-10400h-8gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1612455610-7188","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus VivoBook S14 M433IA-EB203, AMD Ryzen™ 5 4500U, 8GB DDR4, SSD 512GB, AM","3.099,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144983-1.jpg","","https://www.flanco.ro/laptop-asus-vivobook-s14-m433ia-eb203-amd-ryzen-5-4500u-8gb-ddr4-ssd-512gb-amd-radeon-graphics-free-dos.html"
